Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,Cluster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0502576407676637,0.0,0.18564931573821308,0.0,0.0,0.0,0.270239090547978,0.2494442649781008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24440968796804438,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13649610664347112,0.0,0.0,0.0,0.0,0.28376828493142225,0.0,0.051410606574136146,0.0,0.0,0.0,0.0,0.0,0.23936658393892998,0.2889584179120405,0.0,0.0,0.0,0.0,0.0,0
0.0,0.3093454953846837,0.0,0.0,0.0,0.0,0.34333035482261015,0.0,0.0,0.0,0.34732414979270615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.086013871200621,0.0,0.0,0.10050094582143294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12772845663766225,0.0,0.0,0.3369293579701662,0.0,0.3488273683701177,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.16251072635648808,0.0,0.11900953314267651,0.0,0.29237641347042836,0.0,0.0,0.0,0.3281716237842738,0.0,0.0,0.09793170324613332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1527146245875705,0.3274524682733706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2201128963610804,0.2997200107779785,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.05064113534343276,0.10620970893617454,0.0,0.0,0.0,0.17359970795902468,0.0,0.0,0.0,0.16261921695991788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16439331049233027,0.0,0.17978401085834353,0.0,0.0,0.0,0.1627529094507764,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05059756276673874,0.0,0.23002645227848764,0.0,0.0,0.0,0.2305906451499659,0.0,0.0,0.0,0.0,0.0,0.0,0.05102549659715952,0.0,0.0,0.20973095281907184,0.0,0.2280288903885763,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.34906489318783335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3144963256067763,0.0,0.0,0.0,0.0,0.0,0.3364387812053902,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.33890884792194953,0.0,0.0,0.0,0.2161915070853137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23156544136781915,0.0,0.0,0.0,0.21333420362491773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
